380	0.000015
390	0.000015
400	0.000046
410	0.000015
420	0.000138
430	0.000473
440	0.002075
450	0.009598
460	0.031296
470	0.069412
480	0.126267
490	0.208451
500	0.296189
510	0.370819
520	0.430786
530	0.454285
540	0.440872
550	0.396439
560	0.329346
570	0.260681
580	0.194718
590	0.132691
600	0.089051
610	0.059784
620	0.038788
630	0.025299
640	0.019028
650	0.014405
660	0.010971
670	0.009812
680	0.009171
690	0.007157
700	0.006867
710	0.006867
720	0.006973
730	0.007126
740	0.007309
750	0.007447
760	0.007660
770	0.007782
780	0.007935
